date,value
2006-03-01,2.4032
2006-03-02,2.4634
2006-03-03,2.4472
2006-03-06,2.4778
2006-03-07,2.4508
2006-03-08,2.4277
2006-03-09,2.4172
2006-03-10,2.4285
2006-03-13,2.4431
2006-03-14,2.4388
2006-03-15,2.4404
2006-03-16,2.4321
2006-03-17,2.4156
2006-03-20,2.4257
2006-03-21,2.4179
2006-03-23,2.5288
2006-03-24,2.5227
2006-03-28,2.5928
2006-03-29,2.5896
2006-03-30,2.5067
2006-03-31,2.5924
2006-04-03,2.5145
2006-04-04,2.5295
2006-04-05,2.5418
2006-04-06,2.5312
2006-04-07,2.5217
2006-04-10,2.595
2006-04-11,2.616
2006-04-12,2.6209
2006-04-13,2.6275
2006-04-14,2.6417
2006-04-17,2.672
2006-04-18,2.6694
2006-04-19,2.6775
2006-04-20,2.6524
2006-04-21,2.657
2006-04-24,2.6606
2006-04-25,2.6846
2006-04-26,2.6782
2006-04-27,2.6427
2006-04-28,2.6036
2006-04-29,2.593
2006-04-30,2.5782
2006-05-08,2.5761
2006-05-09,2.554
2006-05-10,2.5668
2006-05-11,2.5555
2006-05-12,2.5831
2006-05-15,2.5996
2006-05-16,2.5223
2006-05-17,2.4809
2006-05-18,2.4826
2006-05-19,2.4824
2006-05-22,2.4815
2006-05-23,2.4875
2006-05-24,2.4789
2006-05-25,2.4814
2006-05-26,2.4859
2006-05-29,2.4961
2006-05-30,2.4863
2006-05-31,2.4867
2006-06-01,2.5026
2006-06-02,2.5307
2006-06-05,2.5737
2006-06-06,2.6169
2006-06-07,2.6315
2006-06-08,2.6061
2006-06-09,2.6028
2006-06-12,2.5948
2006-06-13,2.6724
2006-06-14,2.7111
2006-06-15,2.6948
2006-06-16,2.6795
2006-06-19,2.7411
2006-06-20,2.7201
2006-06-21,2.7437
2006-06-22,2.7621
2006-06-23,2.7757
2006-06-26,2.7676
2006-06-27,2.7605
2006-06-28,2.7507
2006-06-29,2.6827
2006-06-30,2.7557
2006-07-03,2.7492
2006-07-04,2.7305
2006-07-05,2.7607
2006-07-06,2.7662
2006-07-07,2.7537
2006-07-10,2.7243
2006-07-11,2.6939
2006-07-12,2.7097
2006-07-13,2.742
2006-07-14,2.8228
2006-07-17,2.8021
2006-07-18,2.8193
2006-07-19,2.7752
2006-07-20,2.7738
2006-07-21,2.7965
2006-07-24,2.9048
2006-07-25,2.8715
2006-07-26,2.8773
2006-07-27,2.8546
2006-07-28,2.8533
2006-07-31,2.837
2006-08-01,2.8362
2006-08-02,2.8515
2006-08-03,2.8414
2006-08-04,2.8815
2006-08-07,2.8848
2006-08-08,2.8554
2006-08-09,2.8513
2006-08-10,2.8401
2006-08-11,2.8346
2006-08-14,2.8135
2006-08-15,2.8039
2006-08-16,2.7826
2006-08-17,2.7799
2006-08-18,2.7616
2006-08-21,2.8311
2006-08-22,2.817
2006-08-23,2.8069
2006-08-24,2.8007
2006-08-25,2.7957
2006-08-28,2.7938
2006-08-29,2.7944
2006-08-30,2.7847
2006-08-31,2.7832
2006-09-01,2.7794
2006-09-04,2.7747
2006-09-05,2.7693
2006-09-06,2.7636
2006-09-07,2.7565
2006-09-08,2.7587
2006-09-11,2.7602
2006-09-12,2.7521
2006-09-13,2.7593
2006-09-14,2.7489
2006-09-15,2.7274
2006-09-18,2.7271
2006-09-19,2.6943
2006-09-20,2.6844
2006-09-21,2.6785
2006-09-22,2.66
2006-09-25,2.6715
2006-09-26,2.6896
2006-09-27,2.6924
2006-09-28,2.6922
2006-09-29,2.6905
2006-09-30,2.6731
2006-10-08,2.6654
2006-10-09,2.6621
2006-10-10,2.6792
2006-10-11,2.6872
2006-10-12,2.6812
2006-10-13,2.6176
2006-10-16,2.6188
2006-10-17,2.6146
2006-10-18,2.6138
2006-10-19,2.6147
2006-10-20,2.5584
2006-10-23,2.5424
2006-10-24,2.5347
2006-10-25,2.5347
2006-10-26,2.5835
2006-10-27,2.5416
2006-10-30,2.54
2006-10-31,2.5431
2006-11-01,2.5444
2006-11-02,2.5481
2006-11-03,2.5474
2006-11-06,2.5931
2006-11-07,2.5682
2006-11-08,2.5686
2006-11-09,2.5558
2006-11-10,2.5472
2006-11-13,2.5514
2006-11-14,2.5524
2006-11-15,2.5533
2006-11-16,2.5531
2006-11-17,2.5535
2006-11-20,2.5856
2006-11-21,2.5859
2006-11-22,2.633
2006-11-23,2.6605
2006-11-24,2.6626
2006-11-27,2.6229
2006-11-28,2.6253
2006-11-29,2.6267
2006-11-30,2.5778
2006-12-01,2.5601
2006-12-04,2.5668
2006-12-05,2.5667
2006-12-06,2.5668
2006-12-07,2.5726
2006-12-08,2.6199
2006-12-11,2.6096
2006-12-12,2.6134
2006-12-13,2.6176
2006-12-14,2.603
2006-12-15,2.5957
2006-12-18,2.617
2006-12-19,2.5955
2006-12-20,2.5945
2006-12-21,2.5962
2006-12-22,2.6236
2006-12-25,2.6347
2006-12-26,2.6386
2006-12-27,2.6385
2006-12-28,2.6241
2006-12-29,2.6161
2006-12-30,2.6186
2006-12-31,2.6179
2007-01-04,2.6206
2007-01-05,2.6077
2007-01-08,2.6061
2007-01-09,2.6063
2007-01-10,2.6002
2007-01-11,2.5895
2007-01-12,2.5945
2007-01-15,2.6389
2007-01-16,2.6247
2007-01-17,2.62
2007-01-18,2.6157
2007-01-19,2.6223
2007-01-22,2.6341
2007-01-23,2.6573
2007-01-24,2.6596
2007-01-25,2.6613
2007-01-26,2.663
2007-01-29,2.6538
2007-01-30,2.7138
2007-01-31,2.725
2007-02-01,2.7186
2007-02-02,2.7178
2007-02-05,2.7467
2007-02-06,2.761
2007-02-07,2.7615
2007-02-08,2.7598
2007-02-09,2.7605
2007-02-12,2.784
2007-02-13,2.7897
2007-02-14,2.793
2007-02-15,2.8156
2007-02-16,2.812
2007-02-17,2.7928
2007-02-25,2.7676
2007-02-26,2.7958
2007-02-27,2.8076
2007-02-28,2.7873
2007-03-01,2.8027
